model,feature,importance,feature_type
Random Forest,Morgan_bit_117,0.0008947622099687924,Morgan fingerprint
Random Forest,Morgan_bit_118,0.001229457716886189,Morgan fingerprint
Random Forest,Morgan_bit_119,0.001226214299300335,Morgan fingerprint
Random Forest,Morgan_bit_120,0.0003219090065128505,Morgan fingerprint
Random Forest,Morgan_bit_121,0.0006356258513485261,Morgan fingerprint
Random Forest,Morgan_bit_122,0.00028051166717439467,Morgan fingerprint
Random Forest,Morgan_bit_123,0.0001085993936046313,Morgan fingerprint
Random Forest,Morgan_bit_124,0.0001663213922696228,Morgan fingerprint
Random Forest,Morgan_bit_125,0.00035510650753616555,Morgan fingerprint
Random Forest,Morgan_bit_126,0.00015883612827254255,Morgan fingerprint
Random Forest,Morgan_bit_127,0.0004595009501452612,Morgan fingerprint
Random Forest,Morgan_bit_128,0.0002640576279832751,Morgan fingerprint
Random Forest,Morgan_bit_129,0.0001025611961781585,Morgan fingerprint
Random Forest,Morgan_bit_130,0.0003397003309733964,Morgan fingerprint
Random Forest,Morgan_bit_131,0.00011395655744260144,Morgan fingerprint
Random Forest,Morgan_bit_132,0.00022324001633579425,Morgan fingerprint
Random Forest,Morgan_bit_133,0.00022252388745098116,Morgan fingerprint
Random Forest,Morgan_bit_134,0.00026351742426927277,Morgan fingerprint
Random Forest,Morgan_bit_135,0.00015142216679371004,Morgan fingerprint
Random Forest,Morgan_bit_136,7.532435889540477e-05,Morgan fingerprint
Random Forest,Morgan_bit_137,0.0003755488952057764,Morgan fingerprint
Random Forest,Morgan_bit_138,0.0001411200518665681,Morgan fingerprint
Random Forest,Morgan_bit_139,0.00029490000609017276,Morgan fingerprint
Random Forest,Morgan_bit_140,0.001749923455116518,Morgan fingerprint
Random Forest,Morgan_bit_141,0.00029669376199965863,Morgan fingerprint
Random Forest,Morgan_bit_142,0.0005316374419564372,Morgan fingerprint
Random Forest,Morgan_bit_143,0.0003454701418344076,Morgan fingerprint
Random Forest,Morgan_bit_144,0.0004898858754499568,Morgan fingerprint
Random Forest,Morgan_bit_145,0.0006625083264344064,Morgan fingerprint
Random Forest,Morgan_bit_146,0.00037395266332662484,Morgan fingerprint
Random Forest,Morgan_bit_147,0.0013952627627464111,Morgan fingerprint
Random Forest,Morgan_bit_148,3.134158972562555e-05,Morgan fingerprint
Random Forest,Morgan_bit_149,0.00018071241489581996,Morgan fingerprint
Random Forest,Morgan_bit_150,0.0003979946193590893,Morgan fingerprint
Random Forest,Morgan_bit_151,0.00016548816052288563,Morgan fingerprint
Random Forest,Morgan_bit_152,4.83244810463752e-05,Morgan fingerprint
Random Forest,Morgan_bit_153,0.0001818808400871406,Morgan fingerprint
Random Forest,Morgan_bit_154,0.00025883418181030975,Morgan fingerprint
Random Forest,Morgan_bit_155,0.00043158943082436345,Morgan fingerprint
Random Forest,Morgan_bit_156,0.00029579493195641313,Morgan fingerprint
Random Forest,Morgan_bit_157,0.0004633453057975172,Morgan fingerprint
Random Forest,Morgan_bit_158,0.00038215911496624336,Morgan fingerprint
Random Forest,Morgan_bit_159,8.360290862664383e-05,Morgan fingerprint
Random Forest,Morgan_bit_160,0.00012836718846191762,Morgan fingerprint
Random Forest,Morgan_bit_161,4.313760709201175e-05,Morgan fingerprint
Random Forest,Morgan_bit_162,0.0002933761581341709,Morgan fingerprint
Random Forest,Morgan_bit_163,0.0002813773229159064,Morgan fingerprint
Random Forest,Morgan_bit_164,0.00022748786657174919,Morgan fingerprint
Random Forest,Morgan_bit_165,0.0007232023656020968,Morgan fingerprint
Random Forest,Morgan_bit_166,0.0001877176159631155,Morgan fingerprint
Random Forest,Morgan_bit_167,0.0003559163245955263,Morgan fingerprint
Random Forest,Morgan_bit_168,6.661431062202402e-05,Morgan fingerprint
Random Forest,Morgan_bit_169,0.0003257842518748601,Morgan fingerprint
Random Forest,Morgan_bit_170,0.00015203043847199842,Morgan fingerprint
Random Forest,Morgan_bit_171,0.00033965690817614635,Morgan fingerprint
Random Forest,Morgan_bit_172,0.0002387280510059065,Morgan fingerprint
Random Forest,Morgan_bit_173,0.0004331510749036053,Morgan fingerprint
Random Forest,Morgan_bit_174,4.6145986725477306e-05,Morgan fingerprint
Random Forest,Morgan_bit_175,0.00024751941381425497,Morgan fingerprint
Random Forest,Morgan_bit_176,0.0003158155561966627,Morgan fingerprint
Random Forest,Morgan_bit_177,0.00021028479785366989,Morgan fingerprint
Random Forest,Morgan_bit_178,2.915532780282392e-05,Morgan fingerprint
Random Forest,Morgan_bit_179,0.0002552330346741568,Morgan fingerprint
Random Forest,Morgan_bit_180,0.00019950832656423696,Morgan fingerprint
Random Forest,Morgan_bit_181,0.00011485278485743434,Morgan fingerprint
Random Forest,Morgan_bit_182,0.0004216197721426897,Morgan fingerprint
Random Forest,Morgan_bit_183,0.00010728730883594551,Morgan fingerprint
Random Forest,Morgan_bit_184,0.0007756813286153845,Morgan fingerprint
Random Forest,Morgan_bit_185,0.0004344805176920041,Morgan fingerprint
Random Forest,Morgan_bit_186,0.00016504197652508792,Morgan fingerprint
Random Forest,Morgan_bit_187,0.0001136957953510536,Morgan fingerprint
Random Forest,Morgan_bit_188,0.0003102130481365765,Morgan fingerprint
Random Forest,Morgan_bit_189,0.00046181113499290516,Morgan fingerprint
Random Forest,Morgan_bit_190,0.00024118610812253177,Morgan fingerprint
Random Forest,Morgan_bit_191,0.0006308643688798512,Morgan fingerprint
Random Forest,Morgan_bit_192,0.0009310256024704789,Morgan fingerprint
Random Forest,Morgan_bit_193,0.0005689838825489994,Morgan fingerprint
Random Forest,Morgan_bit_194,0.00042710985079982887,Morgan fingerprint
Random Forest,Morgan_bit_195,9.58181410625002e-05,Morgan fingerprint
Random Forest,Morgan_bit_196,0.0001292033676736192,Morgan fingerprint
Random Forest,Morgan_bit_197,0.0011649843709217501,Morgan fingerprint
Random Forest,Morgan_bit_198,0.00022351086398992117,Morgan fingerprint
Random Forest,Morgan_bit_199,0.00020313349647889156,Morgan fingerprint
Random Forest,Morgan_bit_200,0.00021096810675478195,Morgan fingerprint
Random Forest,Morgan_bit_201,0.00016720412359490125,Morgan fingerprint
Random Forest,Morgan_bit_202,0.0008842909198662199,Morgan fingerprint
Random Forest,Morgan_bit_203,0.00047424491036378357,Morgan fingerprint
Random Forest,Morgan_bit_204,7.991588938568913e-05,Morgan fingerprint
Random Forest,Morgan_bit_205,8.601480665971355e-05,Morgan fingerprint
Random Forest,Morgan_bit_206,0.0006304693810132014,Morgan fingerprint
Random Forest,Morgan_bit_207,0.0005699135000823737,Morgan fingerprint
Random Forest,Morgan_bit_208,0.00025677529522189987,Morgan fingerprint
